"日期","收盘","开盘","高","低","涨跌幅"
"2020年5月4日","1.140","1.140","1.140","1.140","-0.26%"
"2020年4月30日","1.143","1.165","1.180","1.143","-1.12%"
"2020年4月29日","1.156","1.174","1.174","1.156","-0.17%"
"2020年4月28日","1.158","1.175","1.175","1.158","-0.69%"
"2020年4月27日","1.166","1.250","1.250","1.166","0.78%"
"2020年4月26日","1.157","1.157","1.157","1.157","-0.69%"
"2020年4月24日","1.165","1.177","1.190","1.165","0.69%"
"2020年4月23日","1.157","1.197","1.197","1.157","-3.98%"
"2020年4月22日","1.205","1.225","1.233","1.205","-1.23%"
"2020年4月21日","1.220","1.235","1.235","1.220","0.83%"
"2020年4月20日","1.210","1.200","1.210","1.200","1.68%"
"2020年4月17日","1.190","1.210","1.210","1.190","-2.46%"
"2020年4月16日","1.220","1.220","1.235","1.220","2.09%"
"2020年4月15日","1.195","1.190","1.195","1.190","-5.38%"
"2020年4月14日","1.263","1.263","1.263","1.263","4.38%"
"2020年4月13日","1.210","1.210","1.210","1.210","1.42%"
"2020年4月10日","1.193","1.193","1.193","1.193","-0.33%"
"2020年4月9日","1.197","1.251","1.251","1.195","-7.92%"
"2020年4月8日","1.300","1.300","1.300","1.300","-13.33%"
"2020年4月7日","1.500","1.620","1.620","1.500","-3.23%"
"2020年4月3日","1.550","1.665","1.665","1.550","-9.88%"
"2020年4月2日","1.720","1.730","1.730","1.715","-0.29%"
"2020年4月1日","1.725","1.720","1.755","1.705","-5.22%"
"2020年3月30日","1.820","1.820","1.820","1.820","0.72%"
"2020年3月27日","1.807","1.807","1.807","1.807","1.92%"
"2020年3月26日","1.773","1.750","1.773","1.750","-8.61%"
"2020年3月25日","1.940","1.940","1.940","1.940","0.26%"
"2020年3月24日","1.935","1.955","1.955","1.935","-1.88%"
"2020年3月23日","1.972","2.007","2.007","1.964","-0.75%"
"2020年3月20日","1.987","2.010","2.010","1.987","0.61%"
"2020年3月19日","1.975","2.043","2.043","1.950","-4.82%"
"2020年3月18日","2.075","2.100","2.100","2.075","1.72%"
"2020年3月17日","2.040","2.094","2.094","2.040","-1.31%"
"2020年3月16日","2.067","2.128","2.128","2.063","0.93%"
"2020年3月13日","2.048","2.083","2.083","2.048","-1.63%"
"2020年3月12日","2.082","2.072","2.082","2.072","-0.05%"
"2020年3月11日","2.083","2.080","2.083","2.070","-0.57%"
"2020年3月10日","2.095","1.986","2.095","1.986","5.49%"
"2020年3月9日","1.986","2.056","2.056","1.986","-3.69%"
"2020年3月6日","2.062","2.098","2.105","2.062","-0.39%"
"2020年3月5日","2.070","2.100","2.100","2.070","-0.34%"
"2020年3月4日","2.077","2.075","2.084","2.072","0.05%"
"2020年3月3日","2.076","2.079","2.079","2.075","0.34%"
"2020年3月2日","2.069","2.087","2.087","2.063","-0.34%"
"2020年2月28日","2.076","2.075","2.076","2.075","-0.43%"
"2020年2月27日","2.085","2.084","2.085","2.084","0.34%"
"2020年2月26日","2.078","2.100","2.100","2.078","0.53%"
"2020年2月25日","2.067","2.000","2.067","2.000","-1.10%"
"2020年2月24日","2.090","2.090","2.090","2.090","-0.95%"
"2020年2月21日","2.110","2.150","2.150","2.110","-1.31%"
"2020年2月20日","2.138","2.140","2.150","2.138","0.61%"
"2020年2月19日","2.125","2.130","2.135","2.123","0.24%"
"2020年2月18日","2.120","2.110","2.147","2.110","-3.02%"
"2020年2月17日","2.186","2.136","2.186","2.136","1.20%"
"2020年2月14日","2.160","2.160","2.160","2.160","1.17%"
"2020年2月13日","2.135","2.160","2.160","2.135","-0.51%"
"2020年2月12日","2.146","2.138","2.146","2.138","0.28%"
"2020年2月11日","2.140","2.140","2.140","2.140","-0.83%"
"2020年2月10日","2.158","2.166","2.166","2.158","-1.91%"
"2020年2月7日","2.200","2.200","2.200","2.200","-0.27%"
"2020年2月6日","2.206","2.241","2.241","2.183","-1.43%"
"2020年2月5日","2.238","2.266","2.266","2.238","0.36%"
"2020年2月4日","2.230","2.250","2.250","2.230","-2.62%"
"2020年1月23日","2.290","2.290","2.290","2.290","-2.43%"
"2020年1月22日","2.347","2.365","2.365","2.347","-0.97%"
"2020年1月21日","2.370","2.320","2.370","2.320","-1.04%"
"2020年1月20日","2.395","2.420","2.420","2.383","-0.75%"
"2020年1月17日","2.413","2.420","2.420","2.410","0.25%"
"2020年1月16日","2.407","2.413","2.413","2.400","-0.54%"
"2020年1月15日","2.420","2.400","2.420","2.400","-0.12%"
"2020年1月14日","2.423","2.450","2.450","2.423","-0.41%"
"2020年1月13日","2.433","2.450","2.450","2.430","-0.37%"
